id,active,hmis_health,hmis_flammability,hmis_physical_hazard,hmis_personal_protection,manufacturer,name,pdf,pdf_date,pdf_date_manual,synonym,created_at,updated_at
20,1,0,0,0,0,"Leggett & Platt Inc","Flexible Polyether Polyurethane Foam",20.pdf,"2005-01-11 15:16:28",2005-01-11,"Flexible Polyether Polyurethane Foam","2013-03-12 07:36:41","2013-03-13 14:58:08"
39,1,0,0,0,0,"Henkel Loctite Corp","Loctite 4471",39.pdf,"2005-01-11 15:53:15",2005-01-11,Adhesive,"2013-03-12 07:36:41","2013-03-13 14:41:17"
188,1,0,0,0,0,"Plasticolors Inc.","Colormatch Brown #20",188.pdf,"2007-05-02 12:21:23",2007-05-02,Pigment,"2013-03-12 07:36:41","2013-03-13 15:02:05"
189,1,0,0,0,0,"Balcones Minerals Corp.","Quick Dry",189.pdf,"2005-01-18 19:18:53",2005-01-18,Absorbent,"2013-03-12 07:36:41","2013-03-13 14:40:13"
191,1,0,0,0,0,"Plasticolors Inc.","Colormatch Red #30",191.pdf,"2005-01-18 19:22:39",2005-01-18,Pigment,"2013-03-12 07:36:41","2013-03-13 15:01:45"
200,1,0,0,0,0,"3M Center","Scotch Grip 4475",200.pdf,"2005-01-25 20:22:15",2005-01-25,"Plastic Adhesive","2013-03-12 07:36:41","2013-03-13 14:47:30"
202,1,0,0,0,0,"Plasticolors Inc.","Chromaflo Red #30",202.pdf,"2005-01-18 19:52:46",2005-01-18,Pigment,"2013-03-12 07:36:41","2013-03-13 15:01:49"
221,1,0,0,0,0,"WD-40 Products Ltd","WD 40 ",221.pdf,"2005-01-18 21:08:22",2005-01-18,Aerosol,"2013-03-12 07:36:41","2013-03-13 14:39:13"
222,1,0,0,0,0,"WD-40 Products Ltd",WD-40,222.pdf,"2005-01-18 21:10:19",2005-01-18,"Bulk Liquid","2013-03-12 07:36:41","2013-03-13 14:39:18"
239,1,0,0,0,0,"Vopak USA Inc.","Isopropyl Alcohol (99189)",239.pdf,"2006-02-03 18:56:37",2006-02-03,0.7,"2013-03-12 07:36:41","2013-03-13 14:37:07"
252,1,0,0,0,0,"Magic American Corp.","Goo Gone",252.pdf,"2005-01-25 15:08:09",2005-01-25,"Stain Remover","2013-03-12 07:36:41","2013-03-12 12:43:36"
254,1,0,0,0,0,"Novus Inc.","Novus Plastic Polish #1",254.pdf,"2005-01-25 15:45:24",2005-01-25,"Plastic Polish","2013-03-12 07:36:41","2013-03-13 14:42:25"
269,1,0,0,0,0,"General Plastics","Fray Check",269.pdf,"2005-01-25 17:58:40",2005-01-25,"Textile Anti Fray","2013-03-12 07:36:41","2013-03-13 14:43:08"
278,1,0,0,0,0,"Industrial Polymers","Truecast 65",278.pdf,"2007-02-14 21:48:12",2007-02-14,"Synthetic Urethane Polymer","2013-03-12 07:36:41","2013-03-13 15:00:40"
283,1,0,0,0,0,"Mann Formulated Products","Ease Release 800 Aerosol ",283.pdf,"2005-01-25 19:26:59",2005-01-25,Aerosol,"2013-03-12 07:36:41","2013-03-13 14:40:28"
297,1,0,0,0,0,"Industrial Polymers","Clear Elegance",297.pdf,"2005-01-25 20:04:59",2005-01-25,"H12 Clear Elegance","2013-03-12 07:36:41","2013-03-13 14:58:23"
322,1,0,0,0,0,"IPS Corp.","Weld On 16 for Acrylic",322.pdf,"2005-10-25 19:20:28",2005-10-25,"Acrylic Cement","2013-03-12 07:36:41","2013-03-13 14:45:24"
329,1,0,0,0,0,"Idustrial Polymers, Inc.","WRS -100 Component A",329.pdf,"2005-10-25 20:19:35",2005-10-25,"Synthetic Urethane Polymer","2013-03-12 07:36:41","2013-03-13 14:56:15"
330,1,0,0,0,0,"Industrial Polymers","WRS -100 Component B",330.pdf,"2005-10-25 20:20:31",2005-10-25,"Synthetic Urethane Polymer","2013-03-12 07:36:41","2013-03-13 14:56:26"
